,name,location,operationHour,brand
135,포토이즘박스 충남대점,대전 유성구 궁동로18번길 61 1층,매일 00:00 ~ 24:00,포토이즘박스
136,포토이즘박스 대전지족점,대전 유성구 은구비남로33번길 13-8 104호,매일 00:00 ~ 24:00,포토이즘박스
137,포토이즘박스 대전은행점,"대전 중구 중앙로 지하 145 지하 b구역 가열 5,6호",매일 09:00 ~ 22:00,포토이즘박스
141,포토이즘박스 강릉교동점,강원 강릉시 솔올로 50 1층,매일 00:00 ~ 24:00,포토이즘박스
143,포토이즘박스 동성로1호점,대구 중구 동성로1길 29-33,매일 00:00 ~ 24:00,포토이즘박스
145,포토이즘박스 영주택지점,경북 영주시 대동로34번길 2 1층,매일 00:00 ~ 24:00,포토이즘박스
146,포토이즘박스 원광대점,전북 익산시 동서로19길 78,매일 00:00 ~ 24:00,포토이즘박스
147,포토이즘박스 영동점,충북 영동군 영동읍 중앙로4길 8 1층,매일 00:00 ~ 24:00,포토이즘박스
148,포토이즘박스 전주신시가지점,전북 전주시 완산구 홍산중앙로 38 메가타워 101호,매일 00:00 ~ 24:00,포토이즘박스
149,포토이즘박스 충장로점,광주 동구 충장로안길 17 1층,매일 00:00 ~ 24:00,포토이즘박스
150,포토이즘박스 객사점,전북 전주시 완산구 전주객사4길 44-22 1층,매일 00:00 ~ 24:00,포토이즘박스
151,포토이즘 박스 안동중앙점,경북 안동시 남문로 22-15 1층,매일 00:00 ~ 24:00,포토이즘박스
152,포토이즘박스 동성로 2호점,대구 중구 동성로4길 35 1층,매일 00:00 ~ 24:00,포토이즘박스
154,포토이즘박스 전북대점,전북 전주시 덕진구 명륜4길 19,매일 00:00 ~ 24:00,포토이즘박스
156,포토이즘박스 광주동명점,광주 동구 동계천로 129-3,매일 00:00 ~ 24:00,포토이즘박스
157,포토이즘박스 황리단길점,경북 경주시 포석로 1059-2 1층,매일 00:00 ~ 24:00,포토이즘박스
158,포토이즘박스 첨단점,광주 광산구 임방울대로826번길 47 더시너지첨단 1층,매일 00:00 ~ 24:00,포토이즘박스
159,포토이즘박스 수완지구점,광주 광산구 장신로 175,매일 00:00 ~ 24:00,포토이즘박스
160,포토이즘박스 상무지구점,광주 서구 운천로 247 지하1층 105호,매일 00:00 ~ 24:00,포토이즘박스
161,포토이즘박스 한옥마을점,전북 전주시 완산구 은행로 61,매일 00:00 ~ 24:00,포토이즘박스
162,포토이즘박스 경북대점,대구 북구 대학로17길 6,매일 00:00 ~ 24:00,포토이즘박스
163,포토이즘박스 영일대점,경북 포항시 북구 해안로 117 1층,매일 00:00 ~ 24:00,포토이즘박스
164,포토이즘박스 칠곡3지구점,대구 북구 동천로 135-5,매일 00:00 ~ 24:00,포토이즘박스
165,포토이즘박스 구미원평점,경북 구미시 문화로 22,매일 00:00 ~ 24:00,포토이즘박스
166,포토이즘박스 광주유스퀘어점,광주 서구 무진대로 904 1층,매일 00:00 ~ 24:00,포토이즘박스
168,포토이즘박스 전남대점,광주 북구 호동로15번길 15-1 1층,매일 00:00 ~ 24:00,포토이즘박스
169,포토이즘박스 상남점,경남 창원시 성산구 마디미로16번길 3 104호,매일 00:00 ~ 24:00,포토이즘박스
172,포토이즘박스 순천호수공원점,전남 순천시 왕지2길 4-39 1층,매일 00:00 ~ 24:00,포토이즘박스
173,포토이즘박스 울산삼산점,울산 남구 삼산중로74번길 15 1층,매일 00:00 ~ 24:00,포토이즘박스
174,포토이즘박스 부산대점,부산 금정구 금정로68번길 2,매일 00:00 ~ 24:00,포토이즘박스
175,포토이즘박스 부산서면점,부산 부산진구 중앙대로692번길 22,매일 00:00 ~ 24:00,포토이즘박스
176,포토이즘박스 포항중앙점,경북 포항시 북구 중앙상가길 31 1층,매일 00:00 ~ 24:00,포토이즘박스
177,포토이즘박스 광안리점,부산 수영구 광남로94번길 16 1층,매일 00:00 ~ 24:00,포토이즘박스
178,포토이즘박스 울산상안점,울산 북구 신답로 40,매일 00:00 ~ 24:00,포토이즘박스
179,포토이즘박스 남포동점,부산 중구 남포길 14-1,매일 00:00 ~ 24:00,포토이즘박스
180,포토이즘박스 김해율하점,경남 김해시 율하3로 54 경원프라자 1층,매일 00:00 ~ 24:00,포토이즘박스
181,포토이즘박스 울산성남점,울산 중구 젊음의거리 68 1층,매일 00:00 ~ 24:00,포토이즘박스
183,포토이즘박스 양산범어점,경남 양산시 물금읍 범어로 60 1층,매일 00:00 ~ 24:00,포토이즘박스
184,포토이즘박스 양산신도시점,경남 양산시 양산역1길 14 104호,매일 00:00 ~ 24:00,포토이즘박스
185,포토이즘박스 경성대점,부산 남구 용소로 8 104호,매일 00:00 ~ 24:00,포토이즘박스
187,포토이즘박스 곽지해변점,제주특별자치도 제주시 애월읍 곽지3길 19 1층,매일 00:00 ~ 24:00,포토이즘박스
188,포토이즘박스 덕천점,부산 북구 덕천1길 26 1층,매일 00:00 ~ 24:00,포토이즘박스
189,포토이즘박스 제주시청점,제주특별자치도 제주시 신성로13길 5,매일 00:00 ~ 24:00,포토이즘박스
190,포토이즘박스 제주연동점,제주특별자치도 제주시 신광로 45 1층,매일 00:00 ~ 24:00,포토이즘박스
